Masked Gen ID,Min Run Time,Min Down Time,Max Stops per Day,Start Up Notification,Start Up bid Time 1,Start Up bid Time 2,Start Up bid Time 3,Start Up bid Time 4,Start Up bid Time 5,Start Up bid Time 6,Start Up bid Cost 1,Start Up bid Cost 2,Start Up bid Cost 3,Start Up bid Cost 4,Start Up bid Cost 5,Start Up bid Cost 6,Notification Hours To Start 1,Notification Hours To Start 2,Notification Hours To Start 3,Notification Hours To Start 4,Notification Hours To Start 5,Notification Hours To Start 6,Notification Hours Off line 1,Notification Hours Off line 2,Notification Hours Off line 3,Notification Hours Off line 4,Notification Hours Off line 5,Notification Hours Off line 6,Masked Bidder ID
34713750,     .00,     .00,    1,     .30, , , , , , ,        .00, , , , , , , , , , , , , , , , , , 
74713750,     .00,     .00,    1,     .30, , , , , , ,        .00, , , , , , , , , , , , , , , , , , 
2713750,     .00,     .00,    1,     .30, , , , , , ,        .00, , , , , , , , , , , , , , , , , , 
31036180,   24.00,    1.00,    1,     .00,   12.00,   24.00,   48.00, , , ,     200.00,     400.00,     600.00, , , ,     .00, , , , , ,     .00, , , , , , 
19663750,   24.00,     .00,    1,    1.00,    1.00, , , , , ,        .00, , , , , ,    1.00, , , , , ,    1.00, , , , , , 
9663750,   24.00,     .00,    1,    1.00,    1.00, , , , , ,        .00, , , , , ,    1.00, , , , , ,    1.00, , , , , , 
55036180,   24.00,     .50,    9,     .50,     .00, , , , , ,        .00, , , , , ,     .00, , , , , ,     .00, , , , , , 
32663750,   24.00,     .00,    1,    1.00,    1.00, , , , , ,        .00, , , , , ,    1.00, , , , , ,    1.00, , , , , , 
35559750,    1.00,    1.00,    8,    2.00,    1.00, , , , , ,        .00, , , , , , , , , , , , , , , , , , 
12679750,     .00,     .00,    1,     .30, , , , , , ,        .00, , , , , , , , , , , , , , , , , , 
25879750,     .00,     .00,    1,     .30, , , , , , ,        .00, , , , , , , , , , , , , , , , , , 
23059750,     .00,     .00,    1,     .30, , , , , , ,        .00, , , , , , , , , , , , , , , , , , 
13539750,     .00,     .00,   10,     .00,     .00, , , , , ,        .00, , , , , , , , , , , , , , , , , , 
81826180,    1.00,   14.00,    1,     .50,     .00,    1.00, , , , ,     250.00,     251.00, , , , , , , , , , , , , , , , , 
90636180,    4.00,    1.00,    2,    1.00,    1.00,  744.00, , , , ,        .00,        .00, , , , , , , , , , , , , , , , , 
39636180,    8.00,    1.00,    2,    1.00,    1.00,  744.00, , , , ,        .00,       1.00, , , , , , , , , , , , , , , , , 
46036180,    1.00,     .30,   10,    1.00,     .30, , , , , ,     500.00, , , , , ,     .12, , , , , ,     .50, , , , , , 
36636180,    4.00,    1.00,    2,    1.00,    1.00,  744.00, , , , ,        .00,       1.00, , , , , , , , , , , , , , , , , 
1036180,   24.00,   72.00,    1,    1.00,   72.00, , , , , ,   90000.00, , , , , ,    1.00, , , , , ,    1.00, , , , , , 
99636180,    8.00,    1.00,    2,    1.00,    1.00,  744.00, , , , ,        .00,       1.00, , , , , , , , , , , , , , , , , 
76319750,   24.00,     .00,    1,    1.00,    1.00, , , , , ,        .00, , , , , ,    1.00, , , , , ,    1.00, , , , , , 
30819750,    4.00,    1.00,    1,    1.00,    1.00, , , , , ,        .00, , , , , ,    1.00, , , , , ,    1.00, , , , , , 
17989750,   24.00,     .00,    1,    1.00,    1.00, , , , , ,        .00, , , , , ,    1.00, , , , , ,    1.00, , , , , , 
77799750,     .00,     .00,    9,     .00,     .00, , , , , ,        .00, , , , , ,     .00, , , , , ,     .00, , , , , , 
86636180,    1.00,    1.00,   12,     .00,     .00, , , , , ,        .00, , , , , ,     .00, , , , , ,     .00, , , , , , 
39609750,    1.00,    1.00,    9,    1.00,    1.00, , , , , ,        .00, , , , , ,    1.00, , , , , ,    1.00, , , , , , 
27636180,    5.00,    1.00,    3,     .50,    1.00, , , , , ,     900.00, , , , , ,     .50, , , , , ,    1.00, , , , , , 
30332750,    1.00,     .50,    9,    1.00,     .00, , , , , ,        .00, , , , , ,     .00, , , , , ,     .00, , , , , , 
26032750,     .00,     .00,   10,     .00,     .00, , , , , ,        .00, , , , , ,     .00, , , , , ,     .00, , , , , , 
19609750,    1.00,    1.00,    1,     .25,   24.00,   48.00,   72.00,   96.00,  120.00,  144.00,        .00,        .01,        .02,        .03,        .04,        .05,     .25, , , , , ,    1.00, , , , , , 
64036180,    6.00,    3.00,    1,    6.00,    8.00,   24.00,   25.00, , , ,   12000.00,   13000.00,   14000.00, , , ,    6.00,    6.50,    7.00, , , ,    5.00,   12.00,   24.00, , , , 
2092750,    1.00,    1.00,    8,    2.00,    1.00, , , , , ,        .00, , , , , , , , , , , , , , , , , , 
15922750,    2.00,    1.00,    2,    1.00, , , , , , ,        .00, , , , , , , , , , , , , , , , , , 
28842750,    1.00,    1.00,    9,    1.00,    1.00, , , , , ,        .00, , , , , ,    1.00, , , , , ,    1.00, , , , , , 
37462750,   24.00,     .50,    9,     .50,     .00, , , , , ,        .00, , , , , ,     .00, , , , , ,     .00, , , , , , 
27462750,   24.00,     .50,    9,     .50,     .00, , , , , ,        .00, , , , , ,     .00, , , , , ,     .00, , , , , , 
28636180,    3.00,    5.00,    1,    6.00,    1.00,    8.00,   21.00,   48.00,   96.00, ,   16880.00,   18808.00,   21696.00,   29321.00,   29322.00, ,    4.00,    5.00,    6.00, , , ,     .00,    8.00,   48.00, , , , 
76674750,     .00,     .00,   10,     .00,     .00, , , , , ,        .00, , , , , , , , , , , , , , , , , , 
27192750,    1.00,    1.00,    2,     .17,     .00, , , , , ,        .00, , , , , , , , , , , , , , , , , , 
75192750,    1.00,    1.00,    2,     .17,     .00, , , , , ,        .00, , , , , , , , , , , , , , , , , , 
35192750,    1.00,    1.00,    2,     .17,     .00, , , , , ,        .00, , , , , , , , , , , , , , , , , , 
25192750,    1.00,    1.00,    2,     .17,     .00, , , , , ,        .00, , , , , , , , , , , , , , , , , , 
15192750,    1.00,    1.00,    2,     .17,     .00, , , , , ,        .00, , , , , , , , , , , , , , , , , , 
5192750,    1.00,    1.00,    2,     .17,     .00, , , , , ,        .00, , , , , , , , , , , , , , , , , , 
26492750,    1.00,    1.00,    2,     .17,     .00, , , , , ,        .00, , , , , , , , , , , , , , , , , , 
37192750,    1.00,    1.00,    2,     .17,     .00, , , , , ,        .00, , , , , , , , , , , , , , , , , , 
21254750,     .00,     .00,    6,     .00,     .00, , , , , ,        .00, , , , , ,     .00, , , , , ,     .00, , , , , , 
2036180,   10.00,     .00,    1,    4.00,    1.00, , , , , ,    6000.00, , , , , ,    1.00,    2.00, , , , ,   24.00,   25.00, , , , , 
73234750,     .00,     .00,    2,     .00,     .00, , , , , ,        .00, , , , , ,     .00, , , , , ,     .00, , , , , , 
52826180,    1.00,    1.00,    8,     .00,     .00,    1.00, , , , ,        .00,     350.00, , , , , , , , , , , , , , , , , 
32826180,    1.00,    1.00,    8,     .00,     .00,    1.00, , , , ,        .00,     350.00, , , , , , , , , , , , , , , , , 
92826180,    1.00,    1.00,    8,     .00,     .00,    1.00, , , , ,        .00,     350.00, , , , , , , , , , , , , , , , , 
22826180,    1.00,    1.00,    8,     .00,     .00,    1.00, , , , ,        .00,     350.00, , , , , , , , , , , , , , , , , 
42826180,    1.00,    1.00,    8,     .00,     .00,    1.00, , , , ,        .00,     350.00, , , , , , , , , , , , , , , , , 
12826180,    1.00,    1.00,    8,     .00,     .00,    1.00, , , , ,        .00,     350.00, , , , , , , , , , , , , , , , , 
82826180,    1.00,    1.00,    8,     .00,     .00,    1.00, , , , ,        .00,     350.00, , , , , , , , , , , , , , , , , 
2826180,    1.00,    1.00,    8,     .00,     .00,    1.00, , , , ,        .00,     350.00, , , , , , , , , , , , , , , , , 
62826180,    1.00,    1.00,    8,     .00,     .00,    1.00, , , , ,        .00,     350.00, , , , , , , , , , , , , , , , , 
